sentence,intention
Est ce que j'ai besoin d'arroser ma plante ?,arrosage
Quand dois-je arroser ma plante ?,arrosage
Dois-je arroser ma plante ?,arrosage
Comment puis-je arroser ma plante ?,arrosage
Ma plante a besoin de beaucoup d'eau ?,arrosage
De quelle quantité d'eau ma plante a t'elle besoin ?,arrosage
J'aimerais arroser ma plante,arrosage
Ma plante a soif,arrosage
Je pense que ma plante a soif,arrosage
"Ma plante n'a pas l'air bien, que dois-je faire ?",arrosage
combien de fois dois je donner de l'eau à ma plante ?,arrosage
comment puis je donner à boire à ma plante ?,arrosage
quand dois je donner à boire à ma plante ?,arrosage
arrosage plante,arrosage
arroser ma plante,arrosage
aidez moi à arroser ma plante,arrosage
j'ai besoin d'aide pour l'arrosage,arrosage
comment procéder pour l'arrosage ?,arrosage
ma plante a soif ?,arrosage
ma plante devient jaune,arrosage
les feuilles deviennent marron,arrosage
Ma plante a t-elle besoin de soleil ?,soleil
Ma plante a t-elle besoin de beaucoup de soleil ?,soleil
Quelle exposition pour ma plante,soleil
Quelle luminosité pour ma plante,soleil
Ma plante a-t-elle besoin de beaucoup de soleil,soleil
Ma plante a besoin de beaucoup de soleil?,soleil
comment bien exposer sa plante,soleil
soleil,soleil
exposition,soleil
luminosité,soleil
éclairage,soleil
comment bien éclairer ma plante,soleil
bien éclairer ma plante,soleil
ma plante manque de soleil,soleil
faut-il mettre ma plante dans l'ombre,soleil
dois-je mettre ma plante dans l'ombre,soleil
les plantes ont-elles besoin de vitamine D,soleil
vitamine D,soleil
aide exposition plante,soleil
trouver la bonne luminosité,soleil
faible intensité lumineuse,soleil
forte intensité lumineuse,soleil
ai-je besoin d'une lampe horticole,soleil
lampe horticole,soleil
est-ce que je peux laisser ma plante près de la lampe,soleil
est-ce que je dois ouvrir les rideaux,soleil
dois je ouvrir les rideaux ?,soleil
Comment bien couper ma plante ?,tailler
Faut-il tailler ma plante ?,tailler
tailler ma plante ?,tailler
couper les feuilles,tailler
couper les feuilles,tailler
quand dois-je couper les feuilles de ma plante ?,tailler
A quelle période faut-il tailler ma plante,tailler
Ma plante devient trop grande,tailler
Couper les tiges,tailler
Quelle est la période pour tailler une plante ?,tailler
Quand et comment tailler ma plante ?,tailler
Quel mois pour tailler ma plante,tailler
enlever les bois morts,tailler
tailler efficacement une plante,tailler
les branches sont trop grandes,tailler
branches trop grandes,tailler
couper feuilles de ma plante,tailler
Couper,tailler
tailler,tailler
rendre plante plus productive,tailler
A quelle température faut-il conserver ma plante,temperature
quelle chaleur supporte ma plante ?,temperature
chaleur,temperature
ma plante préfère-t-elle le chaud ou le froid,temperature
ma plante a trop chaud,temperature
ma plante a trop froid,temperature
éviter le gel de sa plante,temperature
température,temperature
température idéale,temperature
quelle est la temperature idéale?,temperature
chauffage,temperature
est-ce que je peux laisser ma plante à coté du radiateur,temperature
le radiateur est il dangereux pour ma plante ?,temperature
éviter le gel de sa plante,temperature
éviter que ma plante ne gèle,temperature
que faire de sa plante en hiver,temperature
comment s'occuper de sa plante en hiver,temperature
ou mettre sa plante en hiver,temperature
